date,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Ownership of dwellings,Total,Total less mining,Total less mi and ag
2002-09-01,71.58488063660478,78.4071729957806,41.447586566245086,66.77340365417216,50.57159793377932,37.034331628926225,25.75691570463951,25.936482084690553,43.88942256377415,64.54036333834175,57.49913164293158,56.294058408862035,14.637469586374696,11.01017441860465,19.18717168924523,12.568063118124236,17.55958055290753,40.65817409766454,33.66361788617886,91.44526737786234,44.303031312643334,42.40799029348151,41.338599422755586
2002-12-01,73.34439834024896,75.80663948747815,41.890888847652626,66.13991135093467,49.4608195542775,36.325722031070796,31.954365079365076,28.451715881883477,42.324513448502074,65.7703081232493,58.02031163049527,59.210526315789465,13.957768306857806,10.016213294901819,18.938501947287385,12.072390200838667,17.087948499479314,40.61381074168798,34.1796875,91.38058448102116,44.493389659852035,42.94983319839916,41.860658760274546
2003-03-01,72.3524379811805,76.79508654383027,41.29689671144048,64.58089668615983,49.6637770396176,38.72936468234117,27.434377646062657,27.056410256410256,45.117775241257654,64.99931665983326,57.566208514917875,57.9027645376549,15.696155281821575,10.456709575030859,18.572946175637394,12.174008327854482,16.924778761061948,39.8974358974359,34.39077144917087,91.37221041445271,44.164459113214924,42.49718990534117,41.4671577655003
2003-06-01,68.96551724137932,76.31048387096774,42.38587893638261,70.00821692686935,46.76067687348912,43.36080586080586,33.20966514459665,29.425695677915925,40.15834616230482,66.19337390128464,57.59860008076457,53.858553294378396,14.33983183960085,8.865800865800866,18.15748575375583,11.939655172413794,16.675603217158177,45.16896715849595,33.26200665715645,91.27393947316818,43.808958162779376,42.1784303478813,41.350426063130335
2003-09-01,73.31651159123167,73.38269207428087,44.50913292742545,68.95718232044199,48.52466401381485,42.22598232750517,32.35577850665637,31.54094622838685,42.60225375626043,66.11837670217069,58.03694694628887,52.64694433631764,14.53929176701454,9.585914574502771,17.74399048670687,12.291220556745182,17.297344976625208,42.4717999019127,34.56221198156682,91.48122170503092,44.43869767830648,43.136816015460795,42.05460550126674
2003-12-01,73.64947820748927,73.2921511627907,45.06371476380486,69.02965432532024,50.0430354325061,42.11266285500047,30.244517756646616,31.932005117894352,43.40467894474863,66.35981062598633,57.57342567654226,49.140546006066735,15.068613652357495,9.429400386847195,17.377185678601165,12.369282771733388,17.55626455117703,43.45291479820628,35.63402889245586,91.45482003523786,44.83011339345697,43.581720041651614,42.50352205688122
2004-03-01,74.16013023531153,73.31838565022422,45.664666070744474,68.45258473125642,50.75954564116601,43.3624295326423,30.222391180383955,30.65680259833995,41.49769122666132,66.60317460317461,58.67324069923801,47.61324395693683,15.810742549250717,8.72991347342398,17.267956707117087,12.096857290056672,17.51179245283019,43.38342220067862,36.027663712988975,91.3002922703812,44.581094167883464,43.3748987007555,42.24749062371279
2004-06-01,73.83763299810524,76.35046113306983,46.17954070981211,66.70800850460667,51.7348695537015,39.05691371146971,31.341642228739,29.403533321672203,46.19624141669678,66.21340193556291,59.100806968105545,50.11367942402425,14.167510976021614,9.155784998481629,17.412205654689156,12.175954276382935,17.678207739307535,45.102307357422724,36.94240837696335,91.26616247865333,44.71871383903292,43.23347613376844,42.111310630838624
2004-09-01,71.89353612167301,78.41783389228645,43.25023721211076,67.11920529801324,51.092544987146525,38.95359759534097,31.197995884405476,28.30869714678584,42.862470862470865,65.78753680078509,59.106614017769,49.92478375329071,13.386880856760374,10.25303495685242,17.614782538529816,12.17671329375063,17.418250020386527,46.4041095890411,36.041666666666664,91.12068449709807,44.44326067691056,42.68915608655575,41.67738060110441
2004-12-01,72.26763548289435,78.79818594104309,42.860802732707086,66.27831715210355,49.92503748125937,41.07095284610603,29.719202898550723,28.184658104824713,43.49077822762033,65.93105093641894,59.32468156693103,51.04303702311596,15.407254215717467,11.04932991160536,17.448553181423954,11.966470758261876,17.11675615033256,42.9097605893186,33.11674701320478,91.17285756069026,44.67025953765423,42.87271207189992,41.873520633940515
