date,industry,gva,gos,margin
2021-12-01,"Transport, postal and warehousing",22597,10331,45.71845820241625
2021-12-01,Information media and telecommunications,12519,6818,54.46121894720025
2021-12-01,Financial and insurance services,40301,24672,61.21932458251656
2021-12-01,"Rental, hiring and real estate services",16483,9481,57.51986895589395
2021-12-01,"Professional, scientific and technical services",43010,12597,29.288537549407113
2021-12-01,Administrative and support services,18791,2722,14.485658027779255
2021-12-01,Public administration and safety,29439,5060,17.188083834369376
2021-12-01,Education and training,25956,3101,11.947141316073354
2021-12-01,Health care and social assistance,43596,6649,15.251399210936784
2021-12-01,Arts and recreation services,3870,1525,39.405684754521964
2021-12-01,Other services,8231,1728,20.993803912039848
2021-12-01,Ownership of dwellings,47824,43462,90.87905654064905
2021-12-01,Total,529116,253229,47.858881606301836
2021-12-01,Total less mining,462736,196027,42.362599840946025
2021-12-01,Total less mi and ag,446972,183104,40.965429601854254
2022-03-01,"Agriculture, forestry and fishing",15375,12468,81.09268292682927
2022-03-01,Mining,79884,70410,88.14030343998799
2022-03-01,Manufacturing,30270,11590,38.288734720845724
2022-03-01,"Electricity, gas, water and waste services",12385,7302,58.95841744045216
2022-03-01,Construction,39311,17013,43.27796291114446
2022-03-01,Wholesale trade,21829,8212,37.61968024188007
2022-03-01,Retail trade,24199,7965,32.914583247241616
2022-03-01,Accommodation and food services,11766,2997,25.471698113207548
2022-03-01,"Transport, postal and warehousing",24118,11305,46.873704287254334
2022-03-01,Information media and telecommunications,13009,6713,51.60273656699208
2022-03-01,Financial and insurance services,40404,24768,61.3008613008613
2022-03-01,"Rental, hiring and real estate services",16120,8990,55.769230769230774
2022-03-01,"Professional, scientific and technical services",40556,9070,22.364138475194792
2022-03-01,Administrative and support services,19098,2277,11.922714420358153
2022-03-01,Public administration and safety,29683,5193,17.494862379139576
2022-03-01,Education and training,26389,3116,11.807950282314602
2022-03-01,Health care and social assistance,44621,6400,14.343022343739495
2022-03-01,Arts and recreation services,4314,1541,35.720908669448306
2022-03-01,Other services,9385,2299,24.496537027171016
2022-03-01,Ownership of dwellings,48757,44276,90.80952478618455
2022-03-01,Total,553843,266287,48.079871010376586
2022-03-01,Total less mining,473959,195877,41.32783637403235
2022-03-01,Total less mi and ag,458584,183409,39.99463566107845
2022-06-01,"Agriculture, forestry and fishing",16230,13233,81.53419593345657
2022-06-01,Mining,96117,86371,89.86027445717198
2022-06-01,Manufacturing,33402,13687,40.9765882282498
