date,Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Arts and recreation services,Other services,Total,Total ex mining
2002-12-01,39.049804626930474,9.684468757049402,26.20352250489237,7.584824182603331,5.330192925080261,3.623846140672364,7.890108049250356,13.082706766917292,19.580747160089004,9.747387911651897,28.174398181630334,2.864355762695407,4.832172919048114,8.432996013492794,6.223842311327123,9.46083625397343,8.003750660488869
2003-03-01,39.595682286142136,9.5444087784314,24.3996901626646,6.694415539368713,5.5081070751319325,3.7316604613998403,6.064461407972859,12.927807486631016,18.951745267534744,11.67983941788985,26.242189824457007,3.0718830120596334,5.294961081523965,12.118464792988819,6.2866275972296215,9.367823525185026,7.908152504685175
2003-06-01,37.77926421404682,8.213428415009053,28.527841342486653,5.606215129881816,4.981284623446624,3.6050077932525513,6.847927045512117,13.222865508750914,19.07246376811594,16.707133772690486,26.570915619389584,1.0732381391064025,3.901850362027353,17.43703293661777,6.180144641683103,8.762161680245951,7.4585062552402475
2003-09-01,35.113005819461364,9.303202032327405,27.53783684016242,5.811991117690599,5.315885412807328,3.930687497931217,6.5129775914879895,13.991504698159352,18.146319053635008,19.34762593713008,27.49901999215994,3.384739531964494,6.000193554630794,18.352163130338937,6.291515227472114,9.270705275440992,8.138952521789124
2003-12-01,36.22493755485047,9.64076698510163,24.383874653174473,6.1489913884629,5.190419518000595,3.7384690079300857,6.353161009031455,14.454495107993354,18.961215695168974,18.072289156626507,25.073964497041416,3.3258545598521843,5.877318116975749,17.12241247124968,6.548210735586481,9.29149007361142,8.131124082750919
2004-03-01,33.3198951824229,9.884264827733675,24.118855697803067,6.265634999127349,5.708847353808284,4.09381935463269,5.528937561791771,13.858583475850681,19.284428442844284,18.219161531956026,24.964247407937076,3.281870313189237,5.506165758531689,16.791770920211288,6.304558680892337,9.314761132674953,8.298266428809205
2004-06-01,37.62814680012132,10.449650834266219,22.053171044202436,6.4529012380898045,5.316932560860755,3.5915870463216972,5.843917480361207,15.982721382289416,20.92140921409214,15.059677041890943,27.01983343350219,2.4691899478093067,5.302816238108694,15.663542180562406,6.255153728354341,9.632330435436321,8.33583823310457
2004-09-01,38.93820130631385,10.36113106510808,24.276629570747218,6.557423444840664,5.145235192736139,3.686421628660456,6.815761448349308,13.671669684050691,19.112220533970046,15.099511381241806,29.351045687101696,3.2748186617451394,5.234788964005116,16.739341085271317,6.133850188119941,9.751921788357947,8.304329647996322
2004-12-01,38.561985262245344,9.65793464594486,23.50651548485361,6.491399804223185,5.235275354681238,3.655224269952583,6.991341991341991,14.49340951518923,19.446247025740863,19.368446426419187,28.75536480686695,3.1766254724593366,4.845295345249977,17.310056552741578,6.204173716864072,9.687278212659196,8.220757598690094
2005-03-01,38.27540244027479,9.987199180747568,23.838004101161996,6.407243202820362,5.236199649249784,3.395396481079778,6.99756481879387,14.290489720875815,18.943996465260135,18.86516168395363,26.35938062657544,2.984198834821241,4.4556267154620315,17.66743648960739,6.320943690184731,9.635581979861788,8.11758184426764
