"","date","value","bn"
"1",1984-12-01,2920906.7705,-1.30634679512604
"2",1985-03-01,2935439.3965,-1.04123946784943
"3",1985-06-01,2956959.3276,-0.573655060316524
"4",1985-09-01,2994847.1671,0.30205134119802
"5",1985-12-01,3037041.2824,1.14328037562754
"6",1986-03-01,3087037.095,1.93285582667162
"7",1986-06-01,3105085.4081,1.59121857557097
"8",1986-09-01,3117871.4888,1.07669966180868
"9",1986-12-01,3132418.8469,0.719120369549077
"10",1987-03-01,3129382.1361,-0.0563753944801459
"11",1987-06-01,3172395.4174,0.650809517013497
"12",1987-09-01,3192961.748,0.634265215876911
"13",1987-12-01,3220899.083,0.860251067050278
"14",1988-03-01,3259227.052,1.27054863747384
"15",1988-06-01,3261547.9188,0.611960046910014
"16",1988-09-01,3290881.5246,0.770698725437364
"17",1988-12-01,3365913.8351,2.05492840794666
"18",1989-03-01,3420892.4528,2.52739047647427
"19",1989-06-01,3437324.8254,1.88706595018057
"20",1989-09-01,3480150.3165,1.97971010651159
"21",1989-12-01,3508124.7437,1.65426919713457
"22",1990-03-01,3492390.9797,0.345563688036987
"23",1990-06-01,3529029.9171,0.621579342961238
"24",1990-09-01,3513916.4457,-0.352185574637753
"25",1990-12-01,3451336.0483,-2.24127384425742
"26",1991-03-01,3412463.8373,-3.08535419957658
"27",1991-06-01,3380918.5891,-3.46931256873636
"28",1991-09-01,3373205.3291,-3.07109597655531
"29",1991-12-01,3372979.6236,-2.50051205191205
"30",1992-03-01,3365058.2486,-2.23199754401086
"31",1992-06-01,3359801.2515,-1.99536323537897
"32",1992-09-01,3369453.5805,-1.48249367698463
"33",1992-12-01,3357909.5824,-1.65406897888569
"34",1993-03-01,3391401.5422,-0.6825481576121
"35",1993-06-01,3388668.4668,-0.857737064792676
"36",1993-09-01,3396918.2375,-0.753072718403902
"37",1993-12-01,3452026.9049,0.493899452758767
"38",1994-03-01,3470690.2186,0.526325075482413
"39",1994-06-01,3511182.6489,1.03873141588783
"40",1994-09-01,3561877.4044,1.62193978290722
"41",1994-12-01,3575893.9377,1.14733573443499
"42",1995-03-01,3611809.4491,1.23862296105618
"43",1995-06-01,3667224.9877,1.73959216430748
"44",1995-09-01,3675480.4698,1.00998824111329
"45",1995-12-01,3691147.9664,0.600439883339155
