date,industry,gop,sales,margin
2025-09-01,Accommodation and food services,1706,36692,4.64951488062793
2025-09-01,"Transport, postal and warehousing",8929,52205,17.10372569677234
2025-09-01,Information media and telecommunications,4503,26217,17.175878246939007
2025-09-01,Financial and insurance services,1697,23122,7.339330507741545
2025-09-01,"Rental, hiring and real estate services",6755,34546,19.553638626758524
2025-09-01,"Professional, scientific and technical services",7099,69419,10.22630691885507
2025-09-01,Administrative and support services,1885,30046,6.273713639086734
2025-09-01,Arts and recreation services,1243,12418,10.00966339185054
2025-09-01,Other services,2396,19672,12.179747864985767
2025-09-01,Total,126530,998474,12.672337987769335
2025-09-01,Total ex mining,77669,893893,8.688847546630301
2025-12-01,Mining,52831,109977,48.038226174563775
2025-12-01,Manufacturing,11192,124205,9.010909383680206
2025-12-01,"Electricity, gas, water and waste services",6038,30535,19.77402980186671
2025-12-01,Construction,7905,117154,6.747528893593048
2025-12-01,Wholesale trade,10834,177253,6.112167354008113
2025-12-01,Retail trade,6755,147954,4.56560822958487
2025-12-01,Accommodation and food services,1810,37355,4.845402221924775
2025-12-01,"Transport, postal and warehousing",9721,53132,18.295942181736052
2025-12-01,Information media and telecommunications,4648,26958,17.241635136137695
2025-12-01,Financial and insurance services,1765,22901,7.70708702676739
2025-12-01,"Rental, hiring and real estate services",6973,34488,20.218626768731152
2025-12-01,"Professional, scientific and technical services",7721,71054,10.866383314099135
2025-12-01,Administrative and support services,1884,30350,6.207578253706755
2025-12-01,Arts and recreation services,1200,12391,9.684448389960455
2025-12-01,Other services,2644,19823,13.338041668768602
2025-12-01,Total,133922,1015530,13.187399682924186
2025-12-01,Total ex mining,81091,905553,8.954859627211217
