"","date","industry","gva","gos","margin"
"96",2003-09-01,"Electricity, gas, water and waste services",5792,3994,68.957182320442
"97",2003-09-01,"Construction",13319,6463,48.5246640138148
"98",2003-09-01,"Wholesale trade",10638,4492,42.2259823275052
"99",2003-09-01,"Retail trade",10366,3354,32.3557785066564
"100",2003-09-01,"Accommodation and food services",5263,1660,31.5409462283869
"101",2003-09-01,"Transport, postal and warehousing",9584,4083,42.6022537562604
"102",2003-09-01,"Information media and telecommunications",7417,4904,66.1183767021707
"103",2003-09-01,"Financial and insurance services",15211,8828,58.0369469462889
"104",2003-09-01,"Rental, hiring and real estate services",5138,2705,52.6469443363176
"105",2003-09-01,"Professional, scientific and technical services",11211,1630,14.5392917670145
"106",2003-09-01,"Administrative and support services",6134,588,9.58591457450277
"107",2003-09-01,"Public administration and safety",11773,2089,17.7439904867069
"108",2003-09-01,"Education and training",9340,1148,12.2912205567452
"109",2003-09-01,"Health care and social assistance",11337,1961,17.2973449766252
"110",2003-09-01,"Arts and recreation services",2039,866,42.4717999019127
"111",2003-09-01,"Other services",4340,1500,34.5622119815668
"112",2003-09-01,"Ownership of dwellings",15683,14347,91.4812217050309
"113",2003-09-01,"Total",191412,85061,44.4386976783065
"114",2003-09-01,"Total less mining",183173,79015,43.1368160154608
"115",2003-09-01,"Total less mi and ag",176832,74366,42.0546055012667
"116",2003-12-01,"Agriculture, forestry and fishing",6516,4799,73.6494782074893
"117",2003-12-01,"Mining",8256,6051,73.2921511627907
"118",2003-12-01,"Manufacturing",23307,10503,45.0637147638049
"119",2003-12-01,"Electricity, gas, water and waste services",5699,3934,69.0296543253202
"120",2003-12-01,"Construction",13942,6977,50.0430354325061
"121",2003-12-01,"Wholesale trade",10669,4493,42.1126628550005
"122",2003-12-01,"Retail trade",10306,3117,30.2445177566466
"123",2003-12-01,"Accommodation and food services",5471,1747,31.9320051178944
"124",2003-12-01,"Transport, postal and warehousing",10045,4360,43.4046789447486
"125",2003-12-01,"Information media and telecommunications",7604,5046,66.3598106259863
"126",2003-12-01,"Financial and insurance services",15594,8978,57.5734256765423
"127",2003-12-01,"Rental, hiring and real estate services",4945,2430,49.1405460060667
"128",2003-12-01,"Professional, scientific and technical services",11368,1713,15.0686136523575
"129",2003-12-01,"Administrative and support services",6204,585,9.4294003868472
"130",2003-12-01,"Public administration and safety",12010,2087,17.3771856786012
"131",2003-12-01,"Education and training",9467,1171,12.3692827717334
"132",2003-12-01,"Health care and social assistance",11597,2036,17.556264551177
"133",2003-12-01,"Arts and recreation services",2230,969,43.4529147982063
"134",2003-12-01,"Other services",4361,1554,35.6340288924559
"135",2003-12-01,"Ownership of dwellings",15892,14534,91.4548200352379
"136",2003-12-01,"Total",196484,88084,44.830113393457
"137",2003-12-01,"Total less mining",188228,82033,43.5817200416516
"138",2003-12-01,"Total less mi and ag",181712,77234,42.5035220568812
"139",2004-03-01,"Agriculture, forestry and fishing",6757,5011,74.1601302353115
"140",2004-03-01,"Mining",8028,5886,73.3183856502242
"141",2004-03-01,"Manufacturing",23493,10728,45.6646660707445
"142",2004-03-01,"Electricity, gas, water and waste services",5842,3999,68.4525847312564
"143",2004-03-01,"Construction",14614,7418,50.759545641166
"144",2004-03-01,"Wholesale trade",10998,4769,43.3624295326423
"145",2004-03-01,"Retail trade",10522,3180,30.222391180384
"146",2004-03-01,"Accommodation and food services",5542,1699,30.65680259834
"147",2004-03-01,"Transport, postal and warehousing",9962,4134,41.4976912266613
"148",2004-03-01,"Information media and telecommunications",7875,5245,66.6031746031746
"149",2004-03-01,"Financial and insurance services",15617,9163,58.673240699238
"150",2004-03-01,"Rental, hiring and real estate services",4923,2344,47.6132439569368
"151",2004-03-01,"Professional, scientific and technical services",11878,1878,15.8107425492507
"152",2004-03-01,"Administrative and support services",6472,565,8.72991347342398
"153",2004-03-01,"Public administration and safety",12196,2106,17.2679567071171
"154",2004-03-01,"Education and training",9705,1174,12.0968572900567
"155",2004-03-01,"Health care and social assistance",11872,2079,17.5117924528302
"156",2004-03-01,"Arts and recreation services",2063,895,43.3834222006786
"157",2004-03-01,"Other services",4627,1667,36.027663712989
"158",2004-03-01,"Ownership of dwellings",16081,14682,91.3002922703812
"159",2004-03-01,"Total",199293,88847,44.5810941678835
"160",2004-03-01,"Total less mining",191265,82961,43.3748987007555
"161",2004-03-01,"Total less mi and ag",184508,77950,42.2474906237128
"162",2004-06-01,"Agriculture, forestry and fishing",6861,5066,73.8376329981052
"163",2004-06-01,"Mining",9108,6954,76.3504611330698
