"","date","value","log"
"1",1984-12-01,2920906.7705,14.88740466388
"2",1985-03-01,2935439.3965,14.8923677092383
"3",1985-06-01,2956959.3276,14.8996720441239
"4",1985-09-01,2994847.1671,14.9124037588807
"5",1985-12-01,3037041.2824,14.9263943370866
"6",1986-03-01,3087037.095,14.942722319933
"7",1986-06-01,3105085.4081,14.9485517796059
"8",1986-09-01,3117871.4888,14.9526611118428
"9",1986-12-01,3132418.8469,14.9573160586011
"10",1987-03-01,3129382.1361,14.9563461424232
"11",1987-06-01,3172395.4174,14.9699975126688
"12",1987-09-01,3192961.748,14.976459491669
"13",1987-12-01,3220899.083,14.9851710968694
"14",1988-03-01,3259227.052,14.9970006246166
"15",1988-06-01,3261547.9188,14.9977124623685
"16",1988-09-01,3290881.5246,15.0066660274598
"17",1988-12-01,3365913.8351,15.0292100548016
"18",1989-03-01,3420892.4528,15.0454120261081
"19",1989-06-01,3437324.8254,15.0502040597748
"20",1989-09-01,3480150.3165,15.0625860452144
"21",1989-12-01,3508124.7437,15.0705921916196
"22",1990-03-01,3492390.9797,15.0660971540784
"23",1990-06-01,3529029.9171,15.0765335801222
"24",1990-09-01,3513916.4457,15.0722417698995
"25",1990-12-01,3451336.0483,15.0542719744184
"26",1991-03-01,3412463.8373,15.042945121291
"27",1991-06-01,3380918.5891,15.033658002459
"28",1991-09-01,3373205.3291,15.0313739865165
"29",1991-12-01,3372979.6236,15.0313070729938
"30",1992-03-01,3365058.2486,15.0289558310449
"31",1992-06-01,3359801.2515,15.0273923788506
"32",1992-09-01,3369453.5805,15.0302611468972
"33",1992-12-01,3357909.5824,15.0268291902297
"34",1993-03-01,3391401.5422,15.0367538281935
"35",1993-06-01,3388668.4668,15.0359476195425
"36",1993-09-01,3396918.2375,15.0383791778216
"37",1993-12-01,3452026.9049,15.0544721251586
"38",1994-03-01,3470690.2186,15.0598640424024
"39",1994-06-01,3511182.6489,15.0714634757001
"40",1994-09-01,3561877.4044,15.0857983246089
"41",1994-12-01,3575893.9377,15.0897257553558
"42",1995-03-01,3611809.4491,15.0997194371717
"43",1995-06-01,3667224.9877,15.1149457998755
"44",1995-09-01,3675480.4698,15.117194422165
"45",1995-12-01,3691147.9664,15.1214480696399
"46",1996-03-01,3708680.0427,15.1261865876388
"47",1996-06-01,3692059.0933,15.121694880246
"48",1996-09-01,3696308.6149,15.1228452079602
"49",1996-12-01,3696554.0416,15.1229116035397
"50",1997-03-01,3715723.5587,15.1280839839796
"51",1997-06-01,3714880.8308,15.1278571577729
"52",1997-09-01,3711981.0659,15.127076272094
"53",1997-12-01,3743772.5675,15.1356043688745
"54",1998-03-01,3747779.427,15.1366740697549
"55",1998-06-01,3756923.0344,15.1391108384266
"56",1998-09-01,3755721.4996,15.1387909684249
"57",1998-12-01,3780941.6096,15.1454836396435
"58",1999-03-01,3792781.9787,15.1486103391086
"59",1999-06-01,3804840.8384,15.1517847188104
"60",1999-09-01,3846022.7743,15.1625501266682
"61",1999-12-01,3904371.1777,15.1776072982508
"62",2000-03-01,3919297.5387,15.1814229963973
"63",2000-06-01,3937772.6781,15.1861258112992
"64",2000-09-01,3981752.8246,15.1972326885004
"65",2000-12-01,3909594.6812,15.1789442644911
"66",2001-03-01,3910988.9267,15.1793008224117
"67",2001-06-01,3916270.5233,15.1806503617838
"68",2001-09-01,3915108.2721,15.1803535427334
"69",2001-12-01,3925449.5557,15.1829914391239
"70",2002-03-01,3947228.2931,15.1885241926227
"71",2002-06-01,3956723.7189,15.1909268970808
"72",2002-09-01,3982716.0289,15.19747456384
"73",2002-12-01,4013024.0535,15.2050556431259
"74",2003-03-01,4049252.6642,15.2140428946974
"75",2003-06-01,4039441.2417,15.2116169338622
"76",2003-09-01,4043468.9595,15.212613534847
"77",2003-12-01,4070930.0892,15.2193820544563
"78",2004-03-01,4085622.1212,15.2229845687321
"79",2004-06-01,4104964.2723,15.2277075973716
"80",2004-09-01,4109070.8818,15.228707498094
"81",2004-12-01,4170277.0692,15.243493035021
"82",2005-03-01,4228740.0386,15.2574146434373
"83",2005-06-01,4255480.136,15.2637181540466
"84",2005-09-01,4263419.6552,15.2655821321878
"85",2005-12-01,4257918.0127,15.2642908693653
"86",2006-03-01,4258757.6234,15.2644880380115
"87",2006-06-01,4313142.5774,15.2771773326769
"88",2006-09-01,4362359.1415,15.2885235564902
"89",2006-12-01,4391359.6712,15.2951494571891
"90",2007-03-01,4391184.8517,15.295109646517
"91",2007-06-01,4456072.2105,15.3097782656869
"92",2007-09-01,4474066.9718,15.3138083900306
"93",2007-12-01,4531494.5074,15.3265623563831
"94",2008-03-01,4548841.1553,15.330383067345
"95",2008-06-01,4590767.891,15.3395578645584
"96",2008-09-01,4626407.7504,15.3472912610798
"97",2008-12-01,4590598.3938,15.339520942559
"98",2009-03-01,4570525.7393,15.3351387976759
"99",2009-06-01,4528318.3337,15.325861199773
"100",2009-09-01,4520011.8521,15.324025173951
"101",2009-12-01,4566396.3306,15.3342349026992
"102",2010-03-01,4594576.6887,15.3403871851974
