"","date","industry","gop","sales","margin"
"97",2003-12-01,"Professional, scientific and technical services",756,22731,3.32585455985218
"98",2003-12-01,"Administrative and support services",618,10515,5.87731811697575
"99",2003-12-01,"Arts and recreation services",670,3913,17.1224124712497
"100",2003-12-01,"Other services",527,8048,6.54821073558648
"101",2003-12-01,"Total",33323,358640,9.29149007361142
"102",2003-12-01,"Total less mining",27957,343827,8.13112408275092
"103",2004-03-01,"Mining",4959,14883,33.3198951824229
"104",2004-03-01,"Manufacturing",7396,74826,9.88426482773368
"105",2004-03-01,"Electricity, gas, water and waste services",1526,6327,24.1188556978031
"106",2004-03-01,"Construction",2154,34378,6.26563499912735
"107",2004-03-01,"Wholesale trade",3989,69874,5.70884735380828
"108",2004-03-01,"Retail trade",2564,62631,4.09381935463269
"109",2004-03-01,"Accommodation and food services",727,13149,5.52893756179177
"110",2004-03-01,"Transport, postal and warehousing",2350,16957,13.8585834758507
"111",2004-03-01,"Information media and telecommunications",1714,8888,19.2844284428443
"112",2004-03-01,"Financial and insurance services",1508,8277,18.219161531956
"113",2004-03-01,"Rental, hiring and real estate services",2793,11188,24.9642474079371
"114",2004-03-01,"Professional, scientific and technical services",744,22670,3.28187031318924
"115",2004-03-01,"Administrative and support services",576,10461,5.50616575853169
"116",2004-03-01,"Arts and recreation services",604,3597,16.7917709202113
"117",2004-03-01,"Other services",520,8248,6.30455868089234
"118",2004-03-01,"Total",34125,366354,9.31476113267495
"119",2004-03-01,"Total less mining",29166,351471,8.2982664288092
"120",2004-06-01,"Mining",6203,16485,37.6281468001213
"121",2004-06-01,"Manufacturing",7841,75036,10.4496508342662
"122",2004-06-01,"Electricity, gas, water and waste services",1377,6244,22.0531710442024
"123",2004-06-01,"Construction",2262,35054,6.4529012380898
"124",2004-06-01,"Wholesale trade",3726,70078,5.31693256086075
"125",2004-06-01,"Retail trade",2278,63426,3.5915870463217
"126",2004-06-01,"Accommodation and food services",796,13621,5.84391748036121
"127",2004-06-01,"Transport, postal and warehousing",2738,17131,15.9827213822894
"128",2004-06-01,"Information media and telecommunications",1930,9225,20.9214092140921
"129",2004-06-01,"Financial and insurance services",1287,8546,15.0596770418909
"130",2004-06-01,"Rental, hiring and real estate services",3147,11647,27.0198334335022
"131",2004-06-01,"Professional, scientific and technical services",563,22801,2.46918994780931
"132",2004-06-01,"Administrative and support services",563,10617,5.30281623810869
"133",2004-06-01,"Arts and recreation services",635,4054,15.6635421805624
"134",2004-06-01,"Other services",531,8489,6.25515372835434
"135",2004-06-01,"Total",35876,372454,9.63233043543632
"136",2004-06-01,"Total less mining",29673,355969,8.33583823310457
"137",2004-09-01,"Mining",6975,17913,38.9382013063139
"138",2004-09-01,"Manufacturing",7933,76565,10.3611310651081
"139",2004-09-01,"Electricity, gas, water and waste services",1527,6290,24.2766295707472
"140",2004-09-01,"Construction",2317,35334,6.55742344484066
"141",2004-09-01,"Wholesale trade",3672,71367,5.14523519273614
"142",2004-09-01,"Retail trade",2378,64507,3.68642162866046
"143",2004-09-01,"Accommodation and food services",960,14085,6.81576144834931
"144",2004-09-01,"Transport, postal and warehousing",2341,17123,13.6716696840507
