"","Cycle"
"1",-1.30634679512604
"2",-1.04123946784943
"3",-0.573655060316524
"4",0.30205134119802
"5",1.14328037562754
"6",1.93285582667162
"7",1.59121857557097
"8",1.07669966180868
"9",0.719120369549077
"10",-0.0563753944801459
"11",0.650809517013497
"12",0.634265215876911
"13",0.860251067050278
"14",1.27054863747384
"15",0.611960046910014
"16",0.770698725437364
"17",2.05492840794666
"18",2.52739047647427
"19",1.88706595018057
"20",1.97971010651159
"21",1.65426919713457
"22",0.345563688036987
"23",0.621579342961238
"24",-0.352185574637753
"25",-2.24127384425742
"26",-3.08535419957658
"27",-3.46931256873636
"28",-3.07109597655531
"29",-2.50051205191205
"30",-2.23199754401086
"31",-1.99536323537897
"32",-1.48249367698463
"33",-1.65406897888569
"34",-0.6825481576121
"35",-0.857737064792676
"36",-0.753072718403902
"37",0.493899452758767
"38",0.526325075482413
"39",1.03873141588783
"40",1.62193978290722
"41",1.14733573443499
"42",1.23862296105618
"43",1.73959216430748
"44",1.00998824111329
"45",0.600439883339155
"46",0.336780413014817
"47",-0.615599443953304
"48",-0.824022619389628
"49",-1.01774876837496
"50",-0.676020955669222
"51",-0.82909941258617
"52",-0.990458360532241
"53",-0.313483337260398
"54",-0.418743474540159
"55",-0.392168858875687
"56",-0.603580587612681
"57",-0.16939594931243
"58",-0.105213293721127
"59",-0.0345216540131658
"60",0.672337919271162
"61",1.57914960551773
"62",1.30809795619743
"63",1.11288157583763
"64",1.47369510559443
"65",-0.771704500909698
"66",-0.931946141281766
"67",-0.899016824137582
"68",-0.960085635253019
"69",-0.709898962117249
"70",-0.282143281375235
"71",-0.239558534964088
"72",0.0857023361383717
"73",0.405308112084187
"74",0.72584111264878
"75",-0.0170094739764948
"76",-0.348996784372351
"77",-0.0766488278483445
"78",-0.119329078358207
"79",-0.0251993750180504
"80",-0.258784662519165
"81",0.731322059846002
"82",1.43684968537655
"83",1.31465526252053
"84",0.787484840662823
"85",0.0662553071009882
"86",-0.34866196139476
"87",0.450097075242675
"88",1.01360823497122
"89",1.03044741478204
"90",0.435941639939103
"91",1.16618631087666
"92",0.827328775450638
"93",1.26727284048248
"94",0.852868466777323
"95",0.945212898266236
"96",0.908777828165181
"97",-0.456453343097124
"98",-1.21631824161345
"99",-2.19342331052393
"100",-2.22116152787901
"101",-1.11186724785443
"102",-0.520064160476799
"103",0.354252219514048
"104",0.491058565765383
"105",0.695120722423843
"106",0.710176760511192
"107",-0.431262017347082
"108",-0.118627243384376
"109",-0.170882719422091
"110",-0.463644159013039
"111",-0.6361070044953
"112",-0.963535810817034
"113",-0.890560958038746
"114",-0.832081265438459
"115",-0.616521185474198
"116",-0.440302014756666
"117",-1.17317516745587
"118",-1.17835293008919
"119",-0.783172332740304
"120",-0.809774138802736
"121",-1.16287184680351
"122",0.018019600439569
"123",-0.0921313559150595
"124",0.0282305246043006
"125",0.3446612863645
"126",0.342653058820963
"127",-0.653887928273325
"128",-0.265147677442664
"129",-0.0867737060830225
"130",0.397053795887946
"131",0.75743676559653
"132",0.793518077808428
"133",1.07971515671535
"134",0.375990747300966
"135",0.61900943549909
"136",0.442367187203981
"137",0.432338454145006
"138",0.995927899871084
"139",0.283360637063859
"140",0.192895844215418
"141",-0.0414948299366663
"142",-0.579591933621447
"143",-8.70408526689674
"144",-3.48555819401967
"145",0.0617124667696481
"146",1.4453446680365
"147",2.29316745992815
"148",-0.760207662259638
"149",1.2295959696281
"150",1.15423500782741
"151",3.03185353170382
"152",3.12187936360515
"153",3.73692376329658
"154",3.31631413653386
"155",3.22394736550218
"156",0.962273435730858
"157",-0.489006916145308
"158",-0.392446908524161
"159",-0.305237505452755
"160",0.064312328798086
"161",0.296875752542071
"162",0.0551086315590053
"163",-0.0770348523313798
"164",-0.447829645414107
"165",-0.284601144387728
"166",0.0977928778573209
